Max_temp,Min_temp,Rainfall,Year_August
29.3,24.7,277.1,1951
29.3,24.7,211.3,1952
29.2,24.1,479.8,1953
29.2,24.7,849.8,1954
28.5,24.0,1005.5,1955
28.7,24.5,611.1,1956
29.0,24.4,804.0,1957
28.9,24.3,1254.0,1958
28.8,24.4,752.5,1959
29.2,24.4,358.9,1960
29.4,24.4,545.4,1961
29.3,24.3,448.1,1962
29.2,24.0,1021.7,1963
29.2,23.8,621.0,1964
30.0,24.5,487.5,1965
29.9,24.8,122.6,1966
29.3,24.7,316.5,1967
29.6,25.1,192.4,1968
30.3,24.7,212.0,1969
29.2,24.4,731.4,1970
29.1,24.3,809.8,1971
30.2,25.1,108.6,1972
29.5,24.2,440.6,1973
29.8,24.5,535.2,1974
29.2,24.5,772.5,1975
29.8,24.6,587.7,1976
29.8,25.3,223.6,1977
29.2,25.1,251.3,1978
28.9,24.6,620.7,1979
29.3,24.8,694.0,1980
29.5,25.1,557.7,1981
29.5,25.1,527.9,1982
29.2,25.1,1243.8,1983
29.1,24.6,247.7,1984
29.6,24.5,436.5,1985
30.0,24.6,467.1,1986
30.3,24.8,838.2,1987
30.6,25.2,291.7,1988
29.4,24.6,663.6,1989
29.3,24.4,888.0,1990
30.1,24.8,285.4,1991
29.7,25.1,849.9,1992
30.2,25.3,396.0,1993
29.8,25.3,504.9,1994
31.4,25.9,419.4,1995
29.9,25.0,377.2,1996
30.4,25.5,743.3,1997
31.0,25.9,587.7,1998
30.5,25.6,173.1,1999
30.5,25.6,496.3,2000