Max_temp,Min_temp,Rainfall,Year_December
32.1,15.8,0.0,1951
32.1,17.9,0.0,1952
32.3,15.8,0.0,1953
31.3,16.8,9.1,1954
30.8,17.2,0.0,1955
31.4,16.9,0.0,1956
32.6,18.8,0.0,1957
32.3,19.3,0.0,1958
33.1,19.3,0.0,1959
32.3,18.9,0.0,1960
31.3,17.3,0.0,1961
31.0,18.9,31.7,1962
32.4,18.5,0.0,1963
31.7,16.7,0.0,1964
32.6,18.8,16.0,1965
32.0,18.7,0.0,1966
30.8,20.2,55.7,1967
32.2,18.2,0.0,1968
33.7,20.2,0.1,1969
32.2,15.6,0.0,1970
31.9,16.9,0.0,1971
33.0,18.7,0.0,1972
31.8,18.8,0.0,1973
31.0,17.1,0.0,1974
31.9,16.1,0.0,1975
32.4,19.8,0.0,1976
31.8,19.0,0.0,1977
32.1,20.3,10.1,1978
31.6,20.1,0.0,1979
31.3,18.5,33.1,1980
31.5,19.2,0.0,1981
32.1,19.9,0.0,1982
31.3,18.8,0.0,1983
32.5,17.9,0.0,1984
32.5,18.7,0.0,1985
31.6,17.3,2.8,1986
33.1,20.1,9.4,1987
32.5,18.6,0.0,1988
32.3,18.9,0.0,1989
32.5,20.0,0.0,1990
31.4,17.5,7.3,1991
33.4,19.0,0.0,1992
32.3,18.6,0.3,1993
31.6,16.5,0.0,1994
32.7,17.8,0.0,1995
33.0,18.8,0.0,1996
30.1,19.4,21.8,1997
32.3,18.6,0.0,1998
33.1,17.9,0.0,1999
34.2,16.7,5.9,2000