Max_temp,Min_temp,Rainfall,Year_November
34.4,20.8,19.8,1951
32.2,16.7,0.0,1952
33.2,18.5,0.0,1953
33.1,18.2,0.0,1954
32.1,18.1,0.0,1955
32.0,21.2,9.1,1956
33.5,21.5,32.5,1957
33.9,21.4,10.5,1958
33.2,20.7,0.2,1959
33.6,20.3,0.0,1960
33.2,20.6,0.0,1961
33.6,20.4,5000.4,1962
33.5,21.3,5.3,1963
33.0,19.9,15.8,1964
35.3,20.6,2.0,1965
33.9,22.2,5.5,1966
33.8,19.6,0.0,1967
34.3,20.2,0.0,1968
34.4,22.6,16.8,1969
33.7,19.0,0.0,1970
33.1,18.4,0.0,1971
34.1,19.8,63.2,1972
33.4,19.4,0.0,1973
32.1,17.8,0.0,1974
32.4,19.8,0.0,1975
34.4,23.1,37.6,1976
33.4,24.0,86.8,1977
33.6,22.7,19.8,1978
32.7,23.8,101.3,1979
33.6,22.2,24.3,1980
31.8,19.9,9.9,1981
32.3,23.2,101.0,1982
32.4,19.3,0.0,1983
33.2,20.1,0.0,1984
33.6,19.6,0.0,1985
33.9,21.1,12.6,1986
34.3,22.7,1.2,1987
33.4,20.5,0.0,1988
34.4,21.9,0.0,1989
33.5,22.1,0.0,1990
34.0,21.5,0.0,1991
34.3,21.8,0.0,1992
33.3,22.2,0.0,1993
33.9,21.5,0.5,1994
33.4,19.6,0.0,1995
33.2,19.8,0.0,1996
33.6,23.1,61.1,1997
33.3,21.9,22.7,1998
33.9,20.7,0.0,1999
34.6,20.5,0.0,2000