Max_temp,Min_temp,Rainfall,Year_September
31.3,24.2,115.8,1951
29.8,23.2,91.9,1952
30.0,23.2,187.1,1953
28.6,23.1,919.9,1954
30.3,24.2,318.7,1955
29.1,24.1,468.8,1956
30.5,23.8,80.6,1957
29.5,24.3,478.0,1958
29.7,24.2,321.0,1959
29.9,24.1,110.0,1960
29.7,23.9,253.4,1961
29.9,23.6,590.3,1962
30.3,23.7,297.7,1963
29.5,23.2,285.1,1964
30.7,24.2,43.8,1965
31.1,24.1,354.5,1966
30.1,24.2,203.2,1967
30.8,23.9,88.2,1968
29.3,24.1,519.7,1969
29.8,24.1,271.2,1970
30.2,24.3,341.2,1971
31.4,24.3,106.2,1972
29.0,24.2,406.8,1973
31.2,24.4,218.5,1974
30.4,24.3,480.5,1975
30.2,24.0,394.0,1976
30.2,24.6,553.6,1977
29.8,24.5,126.3,1978
30.6,24.4,269.3,1979
30.7,24.9,123.1,1980
30.4,24.3,821.0,1981
30.3,24.4,204.4,1982
29.8,24.5,489.3,1983
29.9,24.4,334.3,1984
30.7,24.4,150.1,1985
30.9,24.4,38.5,1986
32.0,25.7,43.7,1987
31.0,24.4,628.2,1988
30.7,24.6,190.7,1989
30.2,24.3,564.8,1990
30.8,24.7,58.7,1991
31.2,24.8,320.6,1992
29.8,24.4,904.6,1993
29.9,23.8,386.5,1994
30.9,24.9,527.5,1995
30.8,24.7,283.8,1996
31.0,24.9,324.3,1997
30.9,25.4,540.4,1998
30.6,24.8,371.8,1999
31.7,25.1,58.1,2000