Max_temp,Min_temp,Rainfall,Year_Feb
31.5,14.5,0.0,1951
31.1,16.8,0.0,1952
32.5,16.8,0.0,1953
31.7,18.0,9.3,1954
31.7,17.6,0.0,1955
31.2,16.6,0.0,1956
30.4,15.4,0.0,1957
30.5,17.5,0.0,1958
30.5,17.5,0.0,1959
34.3,18.4,0.0,1960
29.9,16.3,19.2,1961
32.6,17.1,0.0,1962
32.9,17.5,0.0,1963
31.1,16.0,0.0,1964
31.7,17.6,0.0,1965
33.4,18.7,0.0,1966
33.3,17.8,0.0,1967
29.1,16.2,0.0,1968
31.1,18.0,0.0,1969
30.7,17.8,0.0,1970
30.5,17.5,0.0,1971
29.2,16.9,12.3,1972
32.1,18.5,0.7,1973
31.3,17.3,0.0,1974
30.9,17.1,0.0,1975
32.2,17.9,0.0,1976
31.4,18.4,0.0,1977
30.4,18.5,0.0,1978
29.6,17.0,1.1,1979
31.3,19.0,0.0,1980
31.5,18.2,0.0,1981
30.0,19.0,0.0,1982
28.4,17.1,0.0,1983
30.7,18.6,3.7,1984
31.3,17.9,0.0,1985
30.6,18.5,0.0,1986
32.2,19.0,0.0,1987
31.4,18.8,0.0,1988
32.0,17.2,0.0,1989
31.8,18.8,2.8,1990
30.4,17.1,0.0,1991
29.8,17.5,0.0,1992
32.8,18.2,0.0,1993
30.5,17.7,0.0,1994
31.4,18.7,0.0,1995
32.2,18.7,0.0,1996
30.7,16.0,0.0,1997
31.4,18.0,0.0,1998
32.6,19.8,0.0,1999
30.4,17.6,0.0,2000