Max_temp,Min_temp,Rainfall,Year_March
32.5,19.5,1.3,1951
32.0,18.1,0.0,1952
33.7,20.8,0.0,1953
34.1,20.8,0.0,1954
32.5,21.0,0.0,1955
34.8,19.8,0.0,1956
30.0,19.1,0.0,1957
33.2,20.7,0.0,1958
33.1,20.8,0.0,1959
31.8,21.0,0.0,1960
32.2,20.2,0.0,1961
32.0,19.9,0.0,1962
33.4,21.0,0.0,1963
33.2,20.4,0.0,1964
31.7,19.5,0.0,1965
32.9,20.3,0.0,1966
32.3,21.7,0.0,1967
33.4,20.9,0.0,1968
32.2,21.4,0.0,1969
31.7,20.3,0.0,1970
33.8,20.8,0.0,1971
32.8,20.6,0.0,1972
32.8,21.2,1.3,1973
33.8,21.4,0.0,1974
31.8,20.0,0.0,1975
34.4,20.9,0.6,1976
34.6,23.0,0.0,1977
30.3,19.9,0.7,1978
32.0,20.1,0.0,1979
31.9,22.0,0.0,1980
33.2,21.9,0.0,1981
31.6,20.4,0.0,1982
29.8,20.4,0.0,1983
34.3,22.5,0.0,1984
33.9,22.0,0.0,1985
32.9,21.4,0.0,1986
33.4,21.9,0.0,1987
31.3,20.8,0.0,1988
31.9,21.2,0.0,1989
30.9,20.6,2.9,1990
31.9,20.3,0.0,1991
32.7,20.7,0.0,1992
32.2,21.2,0.0,1993
33.7,21.5,0.0,1994
32.2,21.1,0.0,1995
33.9,22.3,0.0,1996
34.2,21.5,0.0,1997
32.5,20.5,0.0,1998
33.2,21.4,0.0,1999
32.5,19.5,0.0,2000