Max_temp,Min_temp,Rainfall,Year_October
32.5,24.0,173.7,1951
32.1,22.6,67.8,1952
33.7,22.5,24.1,1953
32.5,21.5,36.0,1954
31.8,23.1,181.3,1955
32.3,22.7,126.7,1956
33.4,23.8,12.7,1957
32.2,23.1,9.1,1958
31.0,22.7,344.0,1959
32.4,22.8,193.9,1960
31.3,22.2,86.0,1961
34.0,22.3,11.7,1962
32.8,23.3,33.9,1963
32.1,22.4,59.3,1964
34.5,22.7,0.0,1965
34.9,23.7,11.4,1966
33.5,22.7,13.1,1967
34.0,21.9,76.4,1968
34.5,22.8,5.5,1969
33.3,23.4,55.1,1970
31.1,22.4,37.4,1971
34.9,24.1,0.0,1972
32.5,23.9,13.0,1973
31.5,23.7,164.1,1974
31.5,23.9,126.1,1975
34.8,23.8,0.0,1976
34.3,23.6,73.1,1977
33.2,23.5,49.2,1978
32.7,25.0,2.9,1979
33.1,24.3,15.2,1980
33.4,24.4,69.2,1981
34.4,24.9,0.0,1982
31.5,23.6,76.0,1983
32.2,24.0,14.8,1984
32.2,22.5,188.3,1985
33.9,23.3,0.0,1986
34.1,24.4,73.2,1987
33.2,22.8,251.4,1988
33.8,23.3,78.7,1989
32.7,23.8,95.1,1990
34.0,23.3,0.0,1991
32.6,23.8,38.9,1992
32.7,24.6,130.1,1993
33.7,23.7,79.7,1994
33.7,24.1,62.2,1995
32.8,23.4,237.0,1996
34.1,23.4,0.0,1997
32.7,24.3,376.6,1998
33.6,23.6,222.0,1999
33.3,24.3,58.0,2000