Max_temp,Min_temp,Rainfall,Year_July
29.6,24.9,831.9,1951
29.9,25.2,1190.4,1952
29.7,24.2,923.5,1953
29.1,24.7,1267.2,1954
30.0,25.0,588.5,1955
29.0,24.5,983.9,1956
29.9,25.0,994.1,1957
29.5,25.1,1097.1,1958
29.4,24.2,987.5,1959
30.0,25.2,589.8,1960
28.7,24.2,1385.5,1961
29.6,24.6,858.3,1962
29.9,24.4,760.0,1963
30.1,24.2,588.3,1964
29.4,24.4,1455.5,1965
30.3,25.2,944.0,1966
29.4,24.8,962.2,1967
30.2,24.8,793.9,1968
30.3,24.8,836.5,1969
30.1,25.1,505.4,1970
29.9,24.8,379.9,1971
30.3,25.2,651.2,1972
29.6,24.4,608.4,1973
29.5,24.9,1065.3,1974
30.0,25.0,834.3,1975
30.2,25.0,799.0,1976
29.7,24.9,1125.2,1977
29.9,25.1,441.8,1978
30.1,25.8,490.4,1979
29.9,25.8,496.5,1980
29.6,25.2,730.8,1981
30.1,25.5,783.3,1982
30.2,25.0,978.8,1983
29.4,24.8,980.8,1984
30.0,25.1,701.1,1985
30.6,25.4,287.5,1986
31.0,24.9,698.8,1987
30.4,24.2,1226.1,1988
30.6,25.3,943.6,1989
30.3,25.5,399.0,1990
29.7,25.0,1045.7,1991
31.2,25.9,603.6,1992
30.4,25.8,805.6,1993
29.7,25.1,938.4,1994
30.7,25.8,661.5,1995
30.4,25.2,996.9,1996
31.1,26.4,504.1,1997
31.0,26.2,520.9,1998
30.7,25.9,497.3,1999
29.9,25.6,1229.3,2000